experiment_id,module,model,parameters,status,registered_at,notes
FT-STATIC-001,factor_timing,static_equal,"{}",preregistered,2026-07-19,control
FT-RIC12-001,factor_timing,rolling_ic_12m,"{window_months: 12}",preregistered,2026-07-19,rolling baseline
FT-RIC24-001,factor_timing,rolling_ic_24m,"{window_months: 24}",preregistered,2026-07-19,rolling baseline
FT-EWMA-001,factor_timing,ewma_ic,"{alpha: project_config}",preregistered,2026-07-19,simple adaptive baseline
FT-KALMAN-001,factor_timing,kalman_local_level,"{variances: project_config}",preregistered,2026-07-19,dynamic candidate
RG-NONE-001,regime,no_regime,"{}",preregistered,2026-07-19,control
RG-RULE-001,regime,rule_based,"{inputs: benchmark_return_and_volatility}",preregistered,2026-07-19,simple baseline
RG-HMM2-001,regime,hmm_2_state,"{states: 2}",preregistered,2026-07-19,candidate
RG-HMM3-001,regime,hmm_3_state,"{states: 3}",preregistered,2026-07-19,candidate
VL-NONE-001,volatility,no_scaling,"{}",preregistered,2026-07-19,control
VL-HIST-001,volatility,historical_vol,"{window: project_config}",preregistered,2026-07-19,simple baseline
VL-EWMA-001,volatility,ewma,"{alpha: project_config}",preregistered,2026-07-19,simple baseline
VL-GJR-001,volatility,gjr_garch,"{target: project_config}",preregistered,2026-07-19,dynamic candidate
FT-KGRID-001,factor_timing,kalman_local_level_grid,"{""process_variance"":0.0001,""observation_variance"":0.005,""turnover_penalty"":0.0}",preregistered,2026-07-20,stage 4 grid
FT-KGRID-002,factor_timing,kalman_local_level_grid,"{""process_variance"":0.0001,""observation_variance"":0.005,""turnover_penalty"":0.2}",preregistered,2026-07-20,stage 4 grid
FT-KGRID-003,factor_timing,kalman_local_level_grid,"{""process_variance"":0.0001,""observation_variance"":0.005,""turnover_penalty"":0.5}",preregistered,2026-07-20,stage 4 grid
FT-KGRID-004,factor_timing,kalman_local_level_grid,"{""process_variance"":0.0001,""observation_variance"":0.01,""turnover_penalty"":0.0}",preregistered,2026-07-20,stage 4 grid
FT-KGRID-005,factor_timing,kalman_local_level_grid,"{""process_variance"":0.0001,""observation_variance"":0.01,""turnover_penalty"":0.2}",preregistered,2026-07-20,stage 4 grid
FT-KGRID-006,factor_timing,kalman_local_level_grid,"{""process_variance"":0.0001,""observation_variance"":0.01,""turnover_penalty"":0.5}",preregistered,2026-07-20,stage 4 grid
FT-KGRID-007,factor_timing,kalman_local_level_grid,"{""process_variance"":0.0001,""observation_variance"":0.02,""turnover_penalty"":0.0}",preregistered,2026-07-20,stage 4 grid
FT-KGRID-008,factor_timing,kalman_local_level_grid,"{""process_variance"":0.0001,""observation_variance"":0.02,""turnover_penalty"":0.2}",preregistered,2026-07-20,stage 4 grid
FT-KGRID-009,factor_timing,kalman_local_level_grid,"{""process_variance"":0.0001,""observation_variance"":0.02,""turnover_penalty"":0.5}",preregistered,2026-07-20,stage 4 grid
FT-KGRID-010,factor_timing,kalman_local_level_grid,"{""process_variance"":0.001,""observation_variance"":0.005,""turnover_penalty"":0.0}",preregistered,2026-07-20,stage 4 grid
FT-KGRID-011,factor_timing,kalman_local_level_grid,"{""process_variance"":0.001,""observation_variance"":0.005,""turnover_penalty"":0.2}",preregistered,2026-07-20,stage 4 grid
FT-KGRID-012,factor_timing,kalman_local_level_grid,"{""process_variance"":0.001,""observation_variance"":0.005,""turnover_penalty"":0.5}",preregistered,2026-07-20,stage 4 grid
FT-KGRID-013,factor_timing,kalman_local_level_grid,"{""process_variance"":0.001,""observation_variance"":0.01,""turnover_penalty"":0.0}",preregistered,2026-07-20,stage 4 grid
FT-KGRID-014,factor_timing,kalman_local_level_grid,"{""process_variance"":0.001,""observation_variance"":0.01,""turnover_penalty"":0.2}",preregistered,2026-07-20,stage 4 grid
FT-KGRID-015,factor_timing,kalman_local_level_grid,"{""process_variance"":0.001,""observation_variance"":0.01,""turnover_penalty"":0.5}",preregistered,2026-07-20,stage 4 grid
FT-KGRID-016,factor_timing,kalman_local_level_grid,"{""process_variance"":0.001,""observation_variance"":0.02,""turnover_penalty"":0.0}",preregistered,2026-07-20,stage 4 grid
FT-KGRID-017,factor_timing,kalman_local_level_grid,"{""process_variance"":0.001,""observation_variance"":0.02,""turnover_penalty"":0.2}",preregistered,2026-07-20,stage 4 grid
FT-KGRID-018,factor_timing,kalman_local_level_grid,"{""process_variance"":0.001,""observation_variance"":0.02,""turnover_penalty"":0.5}",preregistered,2026-07-20,stage 4 grid
FT-KGRID-019,factor_timing,kalman_local_level_grid,"{""process_variance"":0.01,""observation_variance"":0.005,""turnover_penalty"":0.0}",preregistered,2026-07-20,stage 4 grid
FT-KGRID-020,factor_timing,kalman_local_level_grid,"{""process_variance"":0.01,""observation_variance"":0.005,""turnover_penalty"":0.2}",preregistered,2026-07-20,stage 4 grid
FT-KGRID-021,factor_timing,kalman_local_level_grid,"{""process_variance"":0.01,""observation_variance"":0.005,""turnover_penalty"":0.5}",preregistered,2026-07-20,stage 4 grid
FT-KGRID-022,factor_timing,kalman_local_level_grid,"{""process_variance"":0.01,""observation_variance"":0.01,""turnover_penalty"":0.0}",preregistered,2026-07-20,stage 4 grid
FT-KGRID-023,factor_timing,kalman_local_level_grid,"{""process_variance"":0.01,""observation_variance"":0.01,""turnover_penalty"":0.2}",preregistered,2026-07-20,stage 4 grid
FT-KGRID-024,factor_timing,kalman_local_level_grid,"{""process_variance"":0.01,""observation_variance"":0.01,""turnover_penalty"":0.5}",preregistered,2026-07-20,stage 4 grid
FT-KGRID-025,factor_timing,kalman_local_level_grid,"{""process_variance"":0.01,""observation_variance"":0.02,""turnover_penalty"":0.0}",preregistered,2026-07-20,stage 4 grid
FT-KGRID-026,factor_timing,kalman_local_level_grid,"{""process_variance"":0.01,""observation_variance"":0.02,""turnover_penalty"":0.2}",preregistered,2026-07-20,stage 4 grid
FT-KGRID-027,factor_timing,kalman_local_level_grid,"{""process_variance"":0.01,""observation_variance"":0.02,""turnover_penalty"":0.5}",preregistered,2026-07-20,stage 4 grid
VL-HIST20-001,volatility,historical_vol_20,"{""window"":20}",preregistered,2026-07-20,stage 6 baseline
VL-HIST60-001,volatility,historical_vol_60,"{""window"":60}",preregistered,2026-07-20,stage 6 baseline
VL-GARCH-001,volatility,garch,"{""order"":[1,1]}",preregistered,2026-07-20,stage 6 candidate
VL-EGARCH-001,volatility,egarch,"{""order"":[1,1]}",preregistered,2026-07-20,stage 6 candidate
