ts_code,name,list_date,delist_date,exchange
000001.SZ,Sample 001,2021-01-03,,SZ
000002.SZ,Sample 002,2021-01-03,,SZ
000003.SZ,Sample 003,2021-01-03,,SZ
000004.SZ,Sample 004,2021-01-03,,SZ
000005.SZ,Sample 005,2021-01-03,,SZ
000006.SZ,Sample 006,2021-01-03,,SZ
000007.SZ,Sample 007,2021-01-03,,SZ
000008.SZ,Sample 008,2021-01-03,,SZ
000009.SZ,Sample 009,2021-01-03,,SZ
000010.SZ,Sample 010,2021-01-03,,SZ
000011.SZ,Sample 011,2021-01-03,,SZ
000012.SZ,Sample 012,2021-01-03,,SZ
000013.SZ,Sample 013,2021-01-03,,SZ
000014.SZ,Sample 014,2021-01-03,,SZ
000015.SZ,Sample 015,2021-01-03,,SZ
000016.SZ,Sample 016,2021-01-03,,SZ
000017.SZ,Sample 017,2021-01-03,,SZ
000018.SZ,Sample 018,2021-01-03,,SZ
000019.SZ,Sample 019,2021-01-03,,SZ
000020.SZ,Sample 020,2021-01-03,,SZ
000021.SZ,Sample 021,2021-01-03,,SZ
000022.SZ,Sample 022,2021-01-03,,SZ
000023.SZ,Sample 023,2021-01-03,,SZ
000024.SZ,Sample 024,2021-01-03,,SZ
000025.SZ,Sample 025,2021-01-03,,SZ
000026.SZ,Sample 026,2021-01-03,,SZ
000027.SZ,Sample 027,2021-01-03,,SZ
000028.SZ,Sample 028,2021-01-03,,SZ
000029.SZ,Sample 029,2021-01-03,,SZ
000030.SZ,Sample 030,2021-01-03,,SZ
000031.SZ,Sample 031,2021-01-03,,SZ
000032.SZ,Sample 032,2021-01-03,,SZ
000033.SZ,Sample 033,2021-01-03,,SZ
000034.SZ,Sample 034,2021-01-03,,SZ
000035.SZ,Sample 035,2021-01-03,,SZ
000036.SZ,Sample 036,2021-01-03,,SZ
000037.SZ,Sample 037,2021-01-03,,SZ
000038.SZ,Sample 038,2021-01-03,,SZ
000039.SZ,Sample 039,2021-01-03,,SZ
000040.SZ,Sample 040,2021-01-03,,SZ
000041.SZ,Sample 041,2021-01-03,,SZ
000042.SZ,Sample 042,2021-01-03,,SZ
000043.SZ,Sample 043,2021-01-03,,SZ
000044.SZ,Sample 044,2021-01-03,,SZ
000045.SZ,Sample 045,2021-01-03,,SZ
000046.SZ,Sample 046,2021-01-03,,SZ
000047.SZ,Sample 047,2021-01-03,,SZ
000048.SZ,Sample 048,2021-01-03,,SZ
000049.SZ,Sample 049,2021-01-03,,SZ
000050.SZ,Sample 050,2021-01-03,,SZ
000051.SZ,Sample 051,2021-01-03,,SZ
000052.SZ,Sample 052,2021-01-03,,SZ
000053.SZ,Sample 053,2021-01-03,,SZ
000054.SZ,Sample 054,2021-01-03,,SZ
000055.SZ,Sample 055,2021-01-03,,SZ
000056.SZ,Sample 056,2021-01-03,,SZ
000057.SZ,Sample 057,2021-01-03,,SZ
000058.SZ,Sample 058,2021-01-03,,SZ
000059.SZ,Sample 059,2021-01-03,,SZ
000060.SZ,Sample 060,2021-01-03,,SZ
