required_field,research_purpose,preferred_source,fallback_source,ifind_endpoint_or_function,indicator_id,account_permission,history_start,pit_ready,revision_available,license_status,probe_status,decision,evidence_path
trade_calendar,交易日对齐,open_source_akshare,ifind,get_trade_dates/THS_DateQuery,,not_required,2014-01-02,true,false,pending_user_signoff,reviewed_20260719,open_source,reports/data_sources/trade_calendar_review.md
daily_ohlcv,收益与流动性,open_source_akshare,ifind,cmd_history_quotation/THS_HQ,"open;high;low;close;volume;amount",unknown,2014-01-02,true,false,pending_user_signoff,reviewed_20260719,open_source,reports/data_sources/daily_bar_review.md
adjustment_factor,复权与公司行动,open_source_akshare,ifind,cmd_history_quotation/THS_HQ,,unknown,2014-01-02,true,false,pending_user_signoff,reviewed_20260719,open_source,reports/data_sources/daily_bar_review.md
market_cap,规模因子与中性化,user_licensed_required,ifind,basic_data_service/THS_BD,,unknown,unresolved,false,unknown,ifind_unconfirmed,reviewed_blocked_20260719,unavailable,reports/data_sources/daily_basic_review.md
financial_value_and_announcement_time,PIT基本面因子,user_licensed_required,ifind,basic_data_service_or_date_sequence/THS_BD_or_THS_DS,,unknown,unresolved,false,unknown,ifind_unconfirmed,reviewed_blocked_20260719,unavailable,reports/data_sources/financial_indicator_review.md
historical_index_membership,消除幸存者偏差,user_licensed_required,ifind,data_pool/THS_DataPool_or_account_report,,unknown,unresolved,false,unknown,ifind_unconfirmed,reviewed_blocked_20260719,unavailable,reports/data_sources/index_member_review.md
st_status_history,可交易股票池,user_licensed_required,ifind,basic_data_service_or_data_pool,,unknown,unresolved,false,unknown,ifind_unconfirmed,reviewed_blocked_20260719,unavailable,reports/data_sources/st_status_review.md
suspension_history,成交可实现性,user_licensed_required,ifind,cmd_history_quotation_or_basic_data_service,,unknown,unresolved,false,unknown,ifind_unconfirmed,reviewed_blocked_20260719,unavailable,reports/data_sources/suspension_review.md
limit_price_history,涨跌停约束,user_licensed_required,ifind,basic_data_service_or_date_sequence,,unknown,unresolved,false,unknown,ifind_unconfirmed,reviewed_blocked_20260719,unavailable,reports/data_sources/limit_price_review.md
announcement_timestamp_and_revision,事件可用时点,user_licensed_required,ifind,report_query/THS_ReportQuery,,unknown,unresolved,false,unknown,ifind_unconfirmed,reviewed_blocked_20260719,unavailable,reports/data_sources/financial_indicator_review.md
macro_release_and_revision,状态变量PIT,unresolved,ifind,edb_service/THS_EDB,,unknown,unresolved,false,unknown,ifind_unconfirmed,blocked_missing_indicator_id,unavailable,reports/ifind_license_and_permission_checklist.md
semantic_stock_query,字段发现与人工核查,none,ifind,smart_stock_picking/THS_WCQuery,,unknown,unknown,false,unknown,ifind_unconfirmed,not_formal_pit_source,rejected_for_pit,docs/plans/时间序列研究执行计划.md
