,mom_20,mom_60_skip5,rev_5,vol_20,turnover_20,amihud_20,size,bp,ep,roe,gross_margin,revenue_yoy,profit_yoy,mf_20,event_sentiment_20
mom_20,1.0,0.42563822462874074,-0.47368330396617075,-0.01170388078140739,-0.01572038330159356,0.051950740968656005,-0.003384504212445385,0.024627765272913785,0.027674547981847555,0.11411806445585718,0.08520582307907473,-0.016656118303775957,0.07078621660998724,0.024510203368246004,-0.019449973445302485
mom_60_skip5,0.42563822462874074,1.0,0.0077692956623653005,0.009589446303536923,-0.0555038990499113,-0.02847004375269876,-0.0015147465465163185,0.0008286845591064252,0.01495781092499393,0.042935801701928726,0.03846170841586598,-0.07037114911686052,-0.013483465730512815,0.04130986481287775,-0.10394211569176842
rev_5,-0.47368330396617075,0.0077692956623653005,1.0,-0.00451647153385939,0.01957141357079705,-0.0688650667947612,-0.0019645946452453546,-0.01733051244621877,-0.01866070285129727,-0.07088149844590907,-0.061629736405459365,0.013287290965837447,-0.031063321224236766,-0.02063842873605159,-0.017342546570165613
vol_20,-0.01170388078140739,0.009589446303536923,-0.00451647153385939,1.0,0.05557049225847219,0.3792487281968623,-0.011383411565519846,-0.01561540535658402,-0.0039918640609106345,0.01864993833386503,-0.00711331388417588,-0.03709411943471416,0.052102410771542255,0.0006538063186988675,-0.036716052115738126
turnover_20,-0.01572038330159356,-0.0555038990499113,0.01957141357079705,0.05557049225847219,1.0,0.06805348754758091,-0.009701039233520121,0.0064713455888750675,0.01393419622846092,0.0477130875723927,0.0018366026258787155,0.13829311839945732,0.005104980876322319,0.022056360564452995,0.028154416175070064
amihud_20,0.051950740968656005,-0.02847004375269876,-0.0688650667947612,0.3792487281968623,0.06805348754758091,1.0,0.008373668308009275,-0.0023650901747469806,-0.007890263383962964,-0.0926966320168785,0.017196388753654895,-0.007860827140229582,-0.09911858118340973,-0.00029681657001110606,-0.08091981309569395
size,-0.003384504212445385,-0.0015147465465163185,-0.0019645946452453546,-0.011383411565519846,-0.009701039233520121,0.008373668308009275,1.0,-0.007637469991938837,-0.007407584016029519,-0.029083036483324234,-0.006501370149277235,-0.004495094239332128,0.015253984308147372,-0.012425307495191084,0.17231013429851139
bp,0.024627765272913785,0.0008286845591064252,-0.01733051244621877,-0.01561540535658402,0.0064713455888750675,-0.0023650901747469806,-0.007637469991938837,1.0,0.25365341905090755,0.46962233376664864,0.37282344125387457,0.31797100024831326,0.3231169436337179,0.03484781426783396,0.14464747616130794
ep,0.027674547981847555,0.01495781092499393,-0.01866070285129727,-0.0039918640609106345,0.01393419622846092,-0.007890263383962964,-0.007407584016029519,0.25365341905090755,1.0,0.47393071628072087,0.3723794432791605,0.3261304792891385,0.32679366648765157,0.05229253706293301,0.12073734051290538
roe,0.11411806445585718,0.042935801701928726,-0.07088149844590907,0.01864993833386503,0.0477130875723927,-0.0926966320168785,-0.029083036483324234,0.46962233376664864,0.47393071628072087,1.0,0.6314678151926135,0.5793924402133196,0.6409697954749346,0.11034409001650315,0.2605997930420687
gross_margin,0.08520582307907473,0.03846170841586598,-0.061629736405459365,-0.00711331388417588,0.0018366026258787155,0.017196388753654895,-0.006501370149277235,0.37282344125387457,0.3723794432791605,0.6314678151926135,1.0,0.3909365852865418,0.4588738923014419,0.06273890792541224,0.13135260773349125
revenue_yoy,-0.016656118303775957,-0.07037114911686052,0.013287290965837447,-0.03709411943471416,0.13829311839945732,-0.007860827140229582,-0.004495094239332128,0.31797100024831326,0.3261304792891385,0.5793924402133196,0.3909365852865418,1.0,0.32720778212062607,0.09400853460719392,0.1592961290790822
profit_yoy,0.07078621660998724,-0.013483465730512815,-0.031063321224236766,0.052102410771542255,0.005104980876322319,-0.09911858118340973,0.015253984308147372,0.3231169436337179,0.32679366648765157,0.6409697954749346,0.4588738923014419,0.32720778212062607,1.0,0.07017506495868123,0.15754194025226656
mf_20,0.024510203368246004,0.04130986481287775,-0.02063842873605159,0.0006538063186988675,0.022056360564452995,-0.00029681657001110606,-0.012425307495191084,0.03484781426783396,0.05229253706293301,0.11034409001650315,0.06273890792541224,0.09400853460719392,0.07017506495868123,1.0,0.10440356029285956
event_sentiment_20,-0.019449973445302485,-0.10394211569176842,-0.017342546570165613,-0.036716052115738126,0.028154416175070064,-0.08091981309569395,0.17231013429851139,0.14464747616130794,0.12073734051290538,0.2605997930420687,0.13135260773349125,0.1592961290790822,0.15754194025226656,0.10440356029285956,1.0
