trade_date,industry_code,factor,total,non_missing,coverage
2022-06-20,BANK,roe,10,10,1.0
2022-06-20,CONSUMER,roe,10,10,1.0
2022-06-20,ENERGY,roe,10,10,1.0
2022-06-20,HEALTH,roe,10,10,1.0
2022-06-20,INDUSTRIAL,roe,10,10,1.0
2022-06-20,TECH,roe,10,10,1.0
2022-06-21,BANK,roe,10,10,1.0
2022-06-21,CONSUMER,roe,10,10,1.0
2022-06-21,ENERGY,roe,10,10,1.0
2022-06-21,HEALTH,roe,10,10,1.0
2022-06-21,INDUSTRIAL,roe,10,10,1.0
2022-06-21,TECH,roe,10,10,1.0
2022-06-22,BANK,roe,10,10,1.0
2022-06-22,CONSUMER,roe,10,10,1.0
2022-06-22,ENERGY,roe,10,10,1.0
2022-06-22,HEALTH,roe,10,10,1.0
2022-06-22,INDUSTRIAL,roe,10,10,1.0
2022-06-22,TECH,roe,10,10,1.0
2022-06-23,BANK,roe,10,10,1.0
2022-06-23,CONSUMER,roe,10,10,1.0
2022-06-23,ENERGY,roe,10,10,1.0
2022-06-23,HEALTH,roe,10,10,1.0
2022-06-23,INDUSTRIAL,roe,10,10,1.0
2022-06-23,TECH,roe,10,10,1.0
2022-06-24,BANK,roe,10,10,1.0
2022-06-24,CONSUMER,roe,10,10,1.0
2022-06-24,ENERGY,roe,10,10,1.0
2022-06-24,HEALTH,roe,10,10,1.0
2022-06-24,INDUSTRIAL,roe,10,10,1.0
2022-06-24,TECH,roe,10,10,1.0
2022-06-27,BANK,roe,10,10,1.0
2022-06-27,CONSUMER,roe,10,10,1.0
2022-06-27,ENERGY,roe,10,10,1.0
2022-06-27,HEALTH,roe,10,10,1.0
2022-06-27,INDUSTRIAL,roe,10,10,1.0
2022-06-27,TECH,roe,10,10,1.0
2022-06-28,BANK,roe,10,10,1.0
2022-06-28,CONSUMER,roe,10,10,1.0
2022-06-28,ENERGY,roe,10,10,1.0
2022-06-28,HEALTH,roe,10,10,1.0
2022-06-28,INDUSTRIAL,roe,10,10,1.0
2022-06-28,TECH,roe,10,10,1.0
2022-06-29,BANK,roe,10,10,1.0
2022-06-29,CONSUMER,roe,10,10,1.0
2022-06-29,ENERGY,roe,10,10,1.0
2022-06-29,HEALTH,roe,10,10,1.0
2022-06-29,INDUSTRIAL,roe,10,10,1.0
2022-06-29,TECH,roe,10,10,1.0
2022-06-30,BANK,roe,10,10,1.0
2022-06-30,CONSUMER,roe,10,10,1.0
2022-06-30,ENERGY,roe,10,10,1.0
2022-06-30,HEALTH,roe,10,10,1.0
2022-06-30,INDUSTRIAL,roe,10,10,1.0
2022-06-30,TECH,roe,10,10,1.0
2022-07-01,BANK,roe,10,10,1.0
2022-07-01,CONSUMER,roe,10,10,1.0
2022-07-01,ENERGY,roe,10,10,1.0
2022-07-01,HEALTH,roe,10,10,1.0
2022-07-01,INDUSTRIAL,roe,10,10,1.0
2022-07-01,TECH,roe,10,10,1.0
2022-07-04,BANK,roe,10,10,1.0
2022-07-04,CONSUMER,roe,10,10,1.0
2022-07-04,ENERGY,roe,10,10,1.0
2022-07-04,HEALTH,roe,10,10,1.0
2022-07-04,INDUSTRIAL,roe,10,10,1.0
2022-07-04,TECH,roe,10,10,1.0
2022-07-05,BANK,roe,10,10,1.0
2022-07-05,CONSUMER,roe,10,10,1.0
2022-07-05,ENERGY,roe,10,10,1.0
2022-07-05,HEALTH,roe,10,10,1.0
2022-07-05,INDUSTRIAL,roe,10,10,1.0
2022-07-05,TECH,roe,10,10,1.0
2022-07-06,BANK,roe,10,10,1.0
2022-07-06,CONSUMER,roe,10,10,1.0
2022-07-06,ENERGY,roe,10,10,1.0
2022-07-06,HEALTH,roe,10,10,1.0
2022-07-06,INDUSTRIAL,roe,10,10,1.0
2022-07-06,TECH,roe,10,10,1.0
2022-07-07,BANK,roe,10,10,1.0
2022-07-07,CONSUMER,roe,10,10,1.0
2022-07-07,ENERGY,roe,10,10,1.0
2022-07-07,HEALTH,roe,10,10,1.0
2022-07-07,INDUSTRIAL,roe,10,10,1.0
2022-07-07,TECH,roe,10,10,1.0
2022-07-08,BANK,roe,10,10,1.0
2022-07-08,CONSUMER,roe,10,10,1.0
2022-07-08,ENERGY,roe,10,10,1.0
2022-07-08,HEALTH,roe,10,10,1.0
2022-07-08,INDUSTRIAL,roe,10,10,1.0
2022-07-08,TECH,roe,10,10,1.0
2022-07-11,BANK,roe,10,10,1.0
2022-07-11,CONSUMER,roe,10,10,1.0
2022-07-11,ENERGY,roe,10,10,1.0
2022-07-11,HEALTH,roe,10,10,1.0
2022-07-11,INDUSTRIAL,roe,10,10,1.0
2022-07-11,TECH,roe,10,10,1.0
2022-07-12,BANK,roe,10,10,1.0
2022-07-12,CONSUMER,roe,10,10,1.0
2022-07-12,ENERGY,roe,10,10,1.0
2022-07-12,HEALTH,roe,10,10,1.0
2022-07-12,INDUSTRIAL,roe,10,10,1.0
2022-07-12,TECH,roe,10,10,1.0
2022-07-13,BANK,roe,10,10,1.0
2022-07-13,CONSUMER,roe,10,10,1.0
2022-07-13,ENERGY,roe,10,10,1.0
2022-07-13,HEALTH,roe,10,10,1.0
2022-07-13,INDUSTRIAL,roe,10,10,1.0
2022-07-13,TECH,roe,10,10,1.0
2022-07-14,BANK,roe,10,10,1.0
2022-07-14,CONSUMER,roe,10,10,1.0
2022-07-14,ENERGY,roe,10,10,1.0
2022-07-14,HEALTH,roe,10,10,1.0
2022-07-14,INDUSTRIAL,roe,10,10,1.0
2022-07-14,TECH,roe,10,10,1.0
2022-07-15,BANK,roe,10,10,1.0
2022-07-15,CONSUMER,roe,10,10,1.0
2022-07-15,ENERGY,roe,10,10,1.0
2022-07-15,HEALTH,roe,10,10,1.0
2022-07-15,INDUSTRIAL,roe,10,10,1.0
2022-07-15,TECH,roe,10,10,1.0
2022-07-18,BANK,roe,10,10,1.0
2022-07-18,CONSUMER,roe,10,10,1.0
2022-07-18,ENERGY,roe,10,10,1.0
2022-07-18,HEALTH,roe,10,10,1.0
2022-07-18,INDUSTRIAL,roe,10,10,1.0
2022-07-18,TECH,roe,10,10,1.0
2022-07-19,BANK,roe,10,10,1.0
2022-07-19,CONSUMER,roe,10,10,1.0
2022-07-19,ENERGY,roe,10,10,1.0
2022-07-19,HEALTH,roe,10,10,1.0
2022-07-19,INDUSTRIAL,roe,10,10,1.0
2022-07-19,TECH,roe,10,10,1.0
2022-07-20,BANK,roe,10,10,1.0
2022-07-20,CONSUMER,roe,10,10,1.0
2022-07-20,ENERGY,roe,10,10,1.0
2022-07-20,HEALTH,roe,10,10,1.0
2022-07-20,INDUSTRIAL,roe,10,10,1.0
2022-07-20,TECH,roe,10,10,1.0
2022-07-21,BANK,roe,10,10,1.0
2022-07-21,CONSUMER,roe,10,10,1.0
2022-07-21,ENERGY,roe,10,10,1.0
2022-07-21,HEALTH,roe,10,10,1.0
2022-07-21,INDUSTRIAL,roe,10,10,1.0
2022-07-21,TECH,roe,10,10,1.0
2022-07-22,BANK,roe,10,10,1.0
2022-07-22,CONSUMER,roe,10,10,1.0
2022-07-22,ENERGY,roe,10,10,1.0
2022-07-22,HEALTH,roe,10,10,1.0
2022-07-22,INDUSTRIAL,roe,10,10,1.0
2022-07-22,TECH,roe,10,10,1.0
2022-07-25,BANK,roe,10,10,1.0
2022-07-25,CONSUMER,roe,10,10,1.0
2022-07-25,ENERGY,roe,10,10,1.0
2022-07-25,HEALTH,roe,10,10,1.0
2022-07-25,INDUSTRIAL,roe,10,10,1.0
2022-07-25,TECH,roe,10,10,1.0
2022-07-26,BANK,roe,10,10,1.0
2022-07-26,CONSUMER,roe,10,10,1.0
2022-07-26,ENERGY,roe,10,10,1.0
2022-07-26,HEALTH,roe,10,10,1.0
2022-07-26,INDUSTRIAL,roe,10,10,1.0
2022-07-26,TECH,roe,10,10,1.0
2022-07-27,BANK,roe,10,10,1.0
2022-07-27,CONSUMER,roe,10,10,1.0
2022-07-27,ENERGY,roe,10,10,1.0
2022-07-27,HEALTH,roe,10,10,1.0
2022-07-27,INDUSTRIAL,roe,10,10,1.0
2022-07-27,TECH,roe,10,10,1.0
2022-07-28,BANK,roe,10,10,1.0
2022-07-28,CONSUMER,roe,10,10,1.0
2022-07-28,ENERGY,roe,10,10,1.0
2022-07-28,HEALTH,roe,10,10,1.0
2022-07-28,INDUSTRIAL,roe,10,10,1.0
2022-07-28,TECH,roe,10,10,1.0
2022-07-29,BANK,roe,10,10,1.0
2022-07-29,CONSUMER,roe,10,10,1.0
2022-07-29,ENERGY,roe,10,10,1.0
2022-07-29,HEALTH,roe,10,10,1.0
2022-07-29,INDUSTRIAL,roe,10,10,1.0
2022-07-29,TECH,roe,10,10,1.0
2022-08-01,BANK,roe,10,10,1.0
2022-08-01,CONSUMER,roe,10,10,1.0
2022-08-01,ENERGY,roe,10,10,1.0
2022-08-01,HEALTH,roe,10,10,1.0
2022-08-01,INDUSTRIAL,roe,10,10,1.0
2022-08-01,TECH,roe,10,10,1.0
2022-08-02,BANK,roe,10,10,1.0
2022-08-02,CONSUMER,roe,10,10,1.0
2022-08-02,ENERGY,roe,10,10,1.0
2022-08-02,HEALTH,roe,10,10,1.0
2022-08-02,INDUSTRIAL,roe,10,10,1.0
2022-08-02,TECH,roe,10,10,1.0
2022-08-03,BANK,roe,10,10,1.0
2022-08-03,CONSUMER,roe,10,10,1.0
2022-08-03,ENERGY,roe,10,10,1.0
2022-08-03,HEALTH,roe,10,10,1.0
2022-08-03,INDUSTRIAL,roe,10,10,1.0
2022-08-03,TECH,roe,10,10,1.0
2022-08-04,BANK,roe,10,10,1.0
2022-08-04,CONSUMER,roe,10,10,1.0
2022-08-04,ENERGY,roe,10,10,1.0
2022-08-04,HEALTH,roe,10,10,1.0
2022-08-04,INDUSTRIAL,roe,10,10,1.0
2022-08-04,TECH,roe,10,10,1.0
2022-08-05,BANK,roe,10,10,1.0
2022-08-05,CONSUMER,roe,10,10,1.0
2022-08-05,ENERGY,roe,10,10,1.0
2022-08-05,HEALTH,roe,10,10,1.0
2022-08-05,INDUSTRIAL,roe,10,10,1.0
2022-08-05,TECH,roe,10,10,1.0
2022-08-08,BANK,roe,10,10,1.0
2022-08-08,CONSUMER,roe,10,10,1.0
2022-08-08,ENERGY,roe,10,10,1.0
2022-08-08,HEALTH,roe,10,10,1.0
2022-08-08,INDUSTRIAL,roe,10,10,1.0
2022-08-08,TECH,roe,10,10,1.0
2022-08-09,BANK,roe,10,10,1.0
2022-08-09,CONSUMER,roe,10,10,1.0
2022-08-09,ENERGY,roe,10,10,1.0
2022-08-09,HEALTH,roe,10,10,1.0
2022-08-09,INDUSTRIAL,roe,10,10,1.0
2022-08-09,TECH,roe,10,10,1.0
2022-08-10,BANK,roe,10,10,1.0
2022-08-10,CONSUMER,roe,10,10,1.0
2022-08-10,ENERGY,roe,10,10,1.0
2022-08-10,HEALTH,roe,10,10,1.0
2022-08-10,INDUSTRIAL,roe,10,10,1.0
2022-08-10,TECH,roe,10,10,1.0
2022-08-11,BANK,roe,10,10,1.0
2022-08-11,CONSUMER,roe,10,10,1.0
2022-08-11,ENERGY,roe,10,10,1.0
