trade_date,size_bucket,factor,total,non_missing,coverage
2022-06-20,0,roe,12,12,1.0
2022-06-20,1,roe,12,12,1.0
2022-06-20,2,roe,12,12,1.0
2022-06-20,3,roe,12,12,1.0
2022-06-20,4,roe,12,12,1.0
2022-06-21,0,roe,12,12,1.0
2022-06-21,1,roe,12,12,1.0
2022-06-21,2,roe,12,12,1.0
2022-06-21,3,roe,12,12,1.0
2022-06-21,4,roe,12,12,1.0
2022-06-22,0,roe,12,12,1.0
2022-06-22,1,roe,12,12,1.0
2022-06-22,2,roe,12,12,1.0
2022-06-22,3,roe,12,12,1.0
2022-06-22,4,roe,12,12,1.0
2022-06-23,0,roe,12,12,1.0
2022-06-23,1,roe,12,12,1.0
2022-06-23,2,roe,12,12,1.0
2022-06-23,3,roe,12,12,1.0
2022-06-23,4,roe,12,12,1.0
2022-06-24,0,roe,12,12,1.0
2022-06-24,1,roe,12,12,1.0
2022-06-24,2,roe,12,12,1.0
2022-06-24,3,roe,12,12,1.0
2022-06-24,4,roe,12,12,1.0
2022-06-27,0,roe,12,12,1.0
2022-06-27,1,roe,12,12,1.0
2022-06-27,2,roe,12,12,1.0
2022-06-27,3,roe,12,12,1.0
2022-06-27,4,roe,12,12,1.0
2022-06-28,0,roe,12,12,1.0
2022-06-28,1,roe,12,12,1.0
2022-06-28,2,roe,12,12,1.0
2022-06-28,3,roe,12,12,1.0
2022-06-28,4,roe,12,12,1.0
2022-06-29,0,roe,12,12,1.0
2022-06-29,1,roe,12,12,1.0
2022-06-29,2,roe,12,12,1.0
2022-06-29,3,roe,12,12,1.0
2022-06-29,4,roe,12,12,1.0
2022-06-30,0,roe,12,12,1.0
2022-06-30,1,roe,12,12,1.0
2022-06-30,2,roe,12,12,1.0
2022-06-30,3,roe,12,12,1.0
2022-06-30,4,roe,12,12,1.0
2022-07-01,0,roe,12,12,1.0
2022-07-01,1,roe,12,12,1.0
2022-07-01,2,roe,12,12,1.0
2022-07-01,3,roe,12,12,1.0
2022-07-01,4,roe,12,12,1.0
2022-07-04,0,roe,12,12,1.0
