trade_date,signal_date,execution_date,target_return_end_date,ts_code,financial_report_period,financial_ann_date,financial_usable_date
2022-06-20,2022-06-20,2022-06-21,2022-07-18,000001.SZ,2022-03-31,2022-04-28,2022-04-29
2022-06-21,2022-06-21,2022-06-22,2022-07-19,000001.SZ,2022-03-31,2022-04-28,2022-04-29
2022-06-22,2022-06-22,2022-06-23,2022-07-20,000001.SZ,2022-03-31,2022-04-28,2022-04-29
2022-06-23,2022-06-23,2022-06-24,2022-07-21,000001.SZ,2022-03-31,2022-04-28,2022-04-29
2022-06-24,2022-06-24,2022-06-27,2022-07-22,000001.SZ,2022-03-31,2022-04-28,2022-04-29
2022-06-27,2022-06-27,2022-06-28,2022-07-25,000001.SZ,2022-03-31,2022-04-28,2022-04-29
2022-06-28,2022-06-28,2022-06-29,2022-07-26,000001.SZ,2022-03-31,2022-04-28,2022-04-29
2022-06-29,2022-06-29,2022-06-30,2022-07-27,000001.SZ,2022-03-31,2022-04-28,2022-04-29
2022-06-30,2022-06-30,2022-07-01,2022-07-28,000001.SZ,2022-03-31,2022-04-28,2022-04-29
2022-07-01,2022-07-01,2022-07-04,2022-07-29,000001.SZ,2022-03-31,2022-04-28,2022-04-29
2022-07-04,2022-07-04,2022-07-05,2022-08-01,000001.SZ,2022-03-31,2022-04-28,2022-04-29
2022-07-05,2022-07-05,2022-07-06,2022-08-02,000001.SZ,2022-03-31,2022-04-28,2022-04-29
2022-07-06,2022-07-06,2022-07-07,2022-08-03,000001.SZ,2022-03-31,2022-04-28,2022-04-29
2022-07-07,2022-07-07,2022-07-08,2022-08-04,000001.SZ,2022-03-31,2022-04-28,2022-04-29
2022-07-08,2022-07-08,2022-07-11,2022-08-05,000001.SZ,2022-03-31,2022-04-28,2022-04-29
2022-07-11,2022-07-11,2022-07-12,2022-08-08,000001.SZ,2022-03-31,2022-04-28,2022-04-29
2022-07-12,2022-07-12,2022-07-13,2022-08-09,000001.SZ,2022-03-31,2022-04-28,2022-04-29
2022-07-13,2022-07-13,2022-07-14,2022-08-10,000001.SZ,2022-03-31,2022-04-28,2022-04-29
2022-07-14,2022-07-14,2022-07-15,2022-08-11,000001.SZ,2022-03-31,2022-04-28,2022-04-29
2022-07-15,2022-07-15,2022-07-18,2022-08-12,000001.SZ,2022-03-31,2022-04-28,2022-04-29
2022-07-18,2022-07-18,2022-07-19,2022-08-15,000001.SZ,2022-03-31,2022-04-28,2022-04-29
2022-07-19,2022-07-19,2022-07-20,2022-08-16,000001.SZ,2022-03-31,2022-04-28,2022-04-29
2022-07-20,2022-07-20,2022-07-21,2022-08-17,000001.SZ,2022-03-31,2022-04-28,2022-04-29
