trade_date,factor,step,non_missing,mean,std,min,q25,median,q75,max,clipped_count
2022-01-03,revenue_yoy,raw,0,,,,,,,,0
2022-01-04,revenue_yoy,raw,0,,,,,,,,0
2022-01-05,revenue_yoy,raw,0,,,,,,,,0
2022-01-06,revenue_yoy,raw,0,,,,,,,,0
2022-01-07,revenue_yoy,raw,0,,,,,,,,0
2022-01-10,revenue_yoy,raw,0,,,,,,,,0
2022-01-11,revenue_yoy,raw,0,,,,,,,,0
2022-01-12,revenue_yoy,raw,0,,,,,,,,0
2022-01-13,revenue_yoy,raw,0,,,,,,,,0
2022-01-14,revenue_yoy,raw,0,,,,,,,,0
2022-01-17,revenue_yoy,raw,0,,,,,,,,0
2022-01-18,revenue_yoy,raw,0,,,,,,,,0
2022-01-19,revenue_yoy,raw,0,,,,,,,,0
2022-01-20,revenue_yoy,raw,0,,,,,,,,0
2022-01-21,revenue_yoy,raw,0,,,,,,,,0
2022-01-24,revenue_yoy,raw,0,,,,,,,,0
2022-01-25,revenue_yoy,raw,0,,,,,,,,0
2022-01-26,revenue_yoy,raw,0,,,,,,,,0
2022-01-27,revenue_yoy,raw,0,,,,,,,,0
2022-01-28,revenue_yoy,raw,0,,,,,,,,0
2022-01-31,revenue_yoy,raw,0,,,,,,,,0
2022-02-01,revenue_yoy,raw,0,,,,,,,,0
2022-02-02,revenue_yoy,raw,0,,,,,,,,0
2022-02-03,revenue_yoy,raw,0,,,,,,,,0
2022-02-04,revenue_yoy,raw,0,,,,,,,,0
2022-02-07,revenue_yoy,raw,0,,,,,,,,0
2022-02-08,revenue_yoy,raw,0,,,,,,,,0
2022-02-09,revenue_yoy,raw,0,,,,,,,,0
2022-02-10,revenue_yoy,raw,0,,,,,,,,0
2022-02-11,revenue_yoy,raw,0,,,,,,,,0
2022-02-14,revenue_yoy,raw,0,,,,,,,,0
2022-02-15,revenue_yoy,raw,0,,,,,,,,0
2022-02-16,revenue_yoy,raw,0,,,,,,,,0
2022-02-17,revenue_yoy,raw,0,,,,,,,,0
2022-02-18,revenue_yoy,raw,0,,,,,,,,0
2022-02-21,revenue_yoy,raw,0,,,,,,,,0
2022-02-22,revenue_yoy,raw,0,,,,,,,,0
2022-02-23,revenue_yoy,raw,0,,,,,,,,0
2022-02-24,revenue_yoy,raw,0,,,,,,,,0
2022-02-25,revenue_yoy,raw,0,,,,,,,,0
2022-02-28,revenue_yoy,raw,0,,,,,,,,0
2022-03-01,revenue_yoy,raw,0,,,,,,,,0
2022-03-02,revenue_yoy,raw,0,,,,,,,,0
2022-03-03,revenue_yoy,raw,0,,,,,,,,0
2022-03-04,revenue_yoy,raw,0,,,,,,,,0
2022-03-07,revenue_yoy,raw,0,,,,,,,,0
2022-03-08,revenue_yoy,raw,0,,,,,,,,0
2022-03-09,revenue_yoy,raw,0,,,,,,,,0
2022-03-10,revenue_yoy,raw,0,,,,,,,,0
2022-03-11,revenue_yoy,raw,0,,,,,,,,0
2022-03-14,revenue_yoy,raw,0,,,,,,,,0
2022-03-15,revenue_yoy,raw,0,,,,,,,,0
2022-03-16,revenue_yoy,raw,0,,,,,,,,0
2022-03-17,revenue_yoy,raw,0,,,,,,,,0
2022-03-18,revenue_yoy,raw,0,,,,,,,,0
2022-03-21,revenue_yoy,raw,0,,,,,,,,0
2022-03-22,revenue_yoy,raw,0,,,,,,,,0
2022-03-23,revenue_yoy,raw,0,,,,,,,,0
2022-03-24,revenue_yoy,raw,0,,,,,,,,0
2022-03-25,revenue_yoy,raw,0,,,,,,,,0
2022-03-28,revenue_yoy,raw,0,,,,,,,,0
2022-03-29,revenue_yoy,raw,0,,,,,,,,0
2022-03-30,revenue_yoy,raw,0,,,,,,,,0
2022-03-31,revenue_yoy,raw,0,,,,,,,,0
2022-04-01,revenue_yoy,raw,0,,,,,,,,0
2022-04-04,revenue_yoy,raw,0,,,,,,,,0
2022-04-05,revenue_yoy,raw,0,,,,,,,,0
2022-04-06,revenue_yoy,raw,0,,,,,,,,0
