,value
total_return,0.005761051602984457
annual_return,0.008074754681510532
annual_volatility,0.10143231561926988
sharpe,0.07960731875450262
sortino,0.12753466115550668
max_drawdown,-0.09532182792879096
calmar,0.08471044730219275
monthly_win_rate,0.2222222222222222
avg_turnover,0.00373109121607883
avg_holding_count,14.205555555555556
total_cost,0.0014414413851294718
gross_total_return,0.00719901113244048
net_total_return,0.005761051602985123
cost_drag,0.001437959529455357
annual_excess_return,-0.5495361300481598
information_ratio,-2.997776503307518
tracking_error,0.1833145764675397
beta,0.24128455060966206
alpha,-0.12262962124710332
excess_max_drawdown,-0.35632300590320276
