trade_date,rolling_ic_mean,rolling_icir,window,factor,return_col,method
2022-06-27,0.11581920903954805,9.980459187823364,12,roe,future_return_20,spearman
2022-06-28,0.11280117492954393,8.503144762716795,12,roe,future_return_20,spearman
2022-06-29,0.10989163656571271,7.433175069738565,12,roe,future_return_20,spearman
2022-06-30,0.11114198388441238,7.756542190622519,12,roe,future_return_20,spearman
2022-07-01,0.11122534037232568,8.23165881392252,12,roe,future_return_20,spearman
2022-07-04,0.11433478996691003,6.949580154614784,12,roe,future_return_20,spearman
2022-07-05,0.11604149300731686,6.9222408246300144,12,roe,future_return_20,spearman
2022-07-06,0.12386774103917758,4.133065391683357,12,roe,future_return_20,spearman
2022-07-07,0.13600074094655926,2.957564180660405,12,roe,future_return_20,spearman
2022-07-08,0.14638325460776144,2.5349284620718318,12,roe,future_return_20,spearman
2022-07-11,0.15962767435398725,2.2856897605324575,12,roe,future_return_20,spearman
2022-07-12,0.17110771510604803,2.3435715071491767,12,roe,future_return_20,spearman
2022-07-13,0.18647772529406317,2.3948196070317627,12,roe,future_return_20,spearman
2022-07-14,0.20129202556265635,2.6591488047819136,12,roe,future_return_20,spearman
2022-07-15,0.21061869037695657,3.139838366444244,12,roe,future_return_20,spearman
2022-07-18,0.21790775215337596,3.575488352774229,12,roe,future_return_20,spearman
2022-07-19,0.21898212466425862,3.7121922419902478,12,roe,future_return_20,spearman
2022-07-20,0.21352227470593688,3.110004050101161,12,roe,future_return_20,spearman
2022-07-21,0.21009539686950082,2.8476870446400087,12,roe,future_return_20,spearman
2022-07-22,0.20242196906548118,2.5568699379568938,12,roe,future_return_20,spearman
2022-07-25,0.19337315921089193,2.429177809320451,12,roe,future_return_20,spearman
2022-07-26,0.18134203945540428,2.2677546266400084,12,roe,future_return_20,spearman
2022-07-27,0.16615726590719646,2.2010437176249074,12,roe,future_return_20,spearman
2022-07-28,0.1577151060479763,2.2379501793675645,12,roe,future_return_20,spearman
2022-07-29,0.1496063721404094,2.579218374112263,12,roe,future_return_20,spearman
2022-08-01,0.14778179123830695,2.736986606124926,12,roe,future_return_20,spearman
2022-08-02,0.15056960266740763,2.6072679587784706,12,roe,future_return_20,spearman
2022-08-03,0.1516671297582662,2.567863005558705,12,roe,future_return_20,spearman
2022-08-04,0.1585857182550709,2.6219245563188145,12,roe,future_return_20,spearman
2022-08-05,0.1669167361304066,3.0168565828553007,12,roe,future_return_20,spearman
2022-08-08,0.1722330276928777,3.410048555404786,12,roe,future_return_20,spearman
2022-08-09,0.17189960174122446,3.373236801276685,12,roe,future_return_20,spearman
2022-08-10,0.16069278503287954,2.2999116622121183,12,roe,future_return_20,spearman
2022-08-11,0.1520746503658424,1.8620343114671023,12,roe,future_return_20,spearman
2022-08-12,0.14617486338797817,1.6645912244614929,12,roe,future_return_20,spearman
2022-08-15,0.1457324004142565,1.5825624049325657,12,roe,future_return_20,spearman
2022-08-16,0.14075020839121982,1.4739474678890925,12,roe,future_return_20,spearman
2022-08-17,0.1285480534716434,1.387499107122162,12,roe,future_return_20,spearman
2022-08-18,0.11525423728813561,1.2892269426907008,12,roe,future_return_20,spearman
2022-08-19,0.10003572420910571,1.1820259094168437,12,roe,future_return_20,spearman
2022-08-22,0.08205983143465778,1.0700961098205384,12,roe,future_return_20,spearman
2022-06-27,0.09195146800037048,3.8612841616081917,12,roa,future_return_20,spearman
2022-06-28,0.08696066367641807,3.418951185278868,12,roa,future_return_20,spearman
2022-06-29,0.08632953598221729,3.6555991551575038,12,roa,future_return_20,spearman
2022-06-30,0.08701182427217438,3.922085313915781,12,roa,future_return_20,spearman
