ts_code,list_date,delist_date,has_security_master,has_index_membership,has_daily_bar,passed,issue
000001.SZ,1991-04-03,,True,False,False,True,
000002.SZ,1991-01-29,,True,False,False,True,
000003.SZ,1991-01-14,2002-06-14,True,False,False,True,
000004.SZ,1990-12-01,2026-07-14,True,False,True,True,
000005.SZ,1990-12-10,2024-04-26,True,False,True,True,
000006.SZ,1992-04-27,,True,True,True,True,
000007.SZ,1992-04-13,,True,False,False,True,
000008.SZ,1992-05-07,,True,True,True,True,
000009.SZ,1991-06-25,,True,True,True,True,
000010.SZ,1995-10-27,,True,False,False,True,
000011.SZ,1992-03-30,,True,False,False,True,
000012.SZ,1992-02-28,,True,True,True,True,
000013.SZ,1992-05-06,2004-09-20,True,False,False,True,
000014.SZ,1992-06-02,,True,False,False,True,
000015.SZ,1992-06-25,2001-10-25,True,False,False,True,
000016.SZ,1992-03-27,,True,False,False,True,
000017.SZ,1992-03-31,,True,False,False,True,
000018.SZ,1992-06-16,2020-01-07,True,False,True,True,
000019.SZ,1992-10-12,,True,False,False,True,
000020.SZ,1992-04-28,,True,False,False,True,
000021.SZ,1994-02-02,,True,True,True,True,
000023.SZ,1993-04-29,2024-09-02,True,False,True,True,
000024.SZ,1993-06-07,2015-12-30,True,False,True,True,
000025.SZ,1993-06-21,,True,True,True,True,
000026.SZ,1993-06-03,,True,False,False,True,
000027.SZ,1993-09-03,,True,True,True,True,
000028.SZ,1993-08-09,,True,True,True,True,
000029.SZ,1993-09-15,,True,False,False,True,
000030.SZ,1993-09-29,,True,True,True,True,
000031.SZ,1993-10-08,,True,True,True,True,
000032.SZ,1993-10-28,,True,True,True,True,
000033.SZ,1994-01-03,2017-07-07,True,False,True,True,
000034.SZ,1994-05-09,,True,True,True,True,
000035.SZ,1994-04-08,,True,False,False,True,
000036.SZ,1994-06-17,,True,False,False,True,
000037.SZ,1994-07-01,,True,False,False,True,
000038.SZ,1994-08-08,2023-07-12,True,False,True,True,
000039.SZ,1994-04-08,,True,True,True,True,
000040.SZ,1994-08-08,2025-04-30,True,False,True,True,
000042.SZ,1994-09-21,,True,False,False,True,
000045.SZ,1994-08-15,,True,False,False,True,
000046.SZ,1994-09-12,2024-02-07,True,True,True,True,
000047.SZ,1994-10-21,2003-05-30,True,False,False,True,
000048.SZ,1994-11-01,,True,False,False,True,
000049.SZ,1995-03-20,,True,True,True,True,
000050.SZ,1995-03-15,,True,True,True,True,
000055.SZ,1996-04-15,,True,False,False,True,
000056.SZ,1996-07-08,,True,False,False,True,
000058.SZ,1996-12-26,,True,False,False,True,
000059.SZ,1997-01-30,,True,False,False,True,
000060.SZ,1997-01-23,,True,True,True,True,
000061.SZ,1997-01-10,,True,True,True,True,
000062.SZ,1997-01-30,,True,True,True,True,
000063.SZ,1997-11-18,,True,False,False,True,
000065.SZ,1998-06-05,,True,False,False,True,
000066.SZ,1997-06-26,,True,True,True,True,
000068.SZ,1997-06-11,,True,False,False,True,
000069.SZ,1997-09-10,,True,False,False,True,
000070.SZ,2000-05-11,,True,False,False,True,
000078.SZ,1998-12-18,,True,True,True,True,
000088.SZ,1997-07-28,,True,True,True,True,
000089.SZ,1998-04-20,,True,True,True,True,
000090.SZ,1999-07-21,,True,True,True,True,
000096.SZ,2000-07-24,,True,False,False,True,
000099.SZ,2000-07-31,,True,True,True,True,
000100.SZ,2004-01-30,,True,False,False,True,
000150.SZ,2000-08-07,2023-06-09,True,False,True,True,
000151.SZ,2000-09-06,,True,False,False,True,
000153.SZ,2000-09-20,,True,False,False,True,
000155.SZ,2000-09-26,,True,True,True,True,
000156.SZ,2000-09-06,,True,True,True,True,
000157.SZ,2000-10-12,,True,False,False,True,
000158.SZ,2000-07-24,,True,True,True,True,
000159.SZ,2000-09-26,,True,False,False,True,
000166.SZ,2015-01-26,,True,False,False,True,
000301.SZ,2000-05-29,,True,True,True,True,
000333.SZ,2013-09-18,,True,False,False,True,
000338.SZ,2007-04-30,,True,False,False,True,
000400.SZ,1997-04-18,,True,True,True,True,
000401.SZ,1996-06-14,,True,True,True,True,
000402.SZ,1996-06-26,,True,True,True,True,
000403.SZ,1996-06-28,,True,True,True,True,
000404.SZ,1996-06-19,,True,False,False,True,
000405.SZ,1996-06-20,2004-03-19,True,False,False,True,
000406.SZ,1996-06-28,2006-04-21,True,False,False,True,
000407.SZ,1996-07-03,,True,False,False,True,
000408.SZ,1996-06-28,,True,False,False,True,
000409.SZ,1996-06-27,,True,False,False,True,
000410.SZ,1996-07-18,,True,False,False,True,
000411.SZ,1996-07-16,,True,False,False,True,
000412.SZ,1996-07-15,2003-09-19,True,False,False,True,
000413.SZ,1996-09-25,2024-10-11,True,False,True,True,
000415.SZ,1996-07-16,,True,True,True,True,
000416.SZ,1996-07-19,2024-06-05,True,False,True,True,
000417.SZ,1996-08-12,,True,True,True,True,
000418.SZ,1997-03-28,2019-06-21,True,True,True,True,
000419.SZ,1996-08-16,,True,False,False,True,
000420.SZ,1996-08-02,,True,False,False,True,
000421.SZ,1996-08-06,,True,False,False,True,
000422.SZ,1996-08-15,,True,True,True,True,
000423.SZ,1996-07-29,,True,True,True,True,
000425.SZ,1996-08-28,,True,False,False,True,
000426.SZ,1996-08-28,,True,True,True,True,
000428.SZ,1996-08-08,,True,False,False,True,
000429.SZ,1998-02-20,,True,True,True,True,
000430.SZ,1996-08-29,,True,False,False,True,
000488.SZ,2000-11-20,,True,True,True,True,
000498.SZ,1997-06-09,,True,False,False,True,
000501.SZ,1992-11-20,,True,True,True,True,
000502.SZ,1992-11-23,2022-06-27,True,False,True,True,
000503.SZ,1992-11-30,,True,False,False,True,
000504.SZ,1992-12-08,,True,False,False,True,
000505.SZ,1992-12-21,,True,False,False,True,
000506.SZ,1993-03-12,,True,True,True,True,
000507.SZ,1993-03-26,,True,False,False,True,
000508.SZ,1993-04-30,1999-07-12,True,False,False,True,
000509.SZ,1993-05-07,,True,False,False,True,
000510.SZ,1993-05-07,,True,True,True,True,
000511.SZ,1993-05-18,2018-07-18,True,True,True,True,
000513.SZ,1993-10-28,,True,True,True,True,
000514.SZ,1993-07-12,,True,False,False,True,
000515.SZ,1993-07-12,2009-05-06,True,False,False,True,
000516.SZ,1993-08-09,,True,False,False,True,
000517.SZ,1993-08-06,,True,True,True,True,
000518.SZ,1993-09-08,,True,False,False,True,
000519.SZ,1993-10-08,,True,True,True,True,
000520.SZ,1993-10-25,,True,False,False,True,
000521.SZ,1993-10-18,,True,False,False,True,
000522.SZ,1993-11-08,2013-04-26,True,False,False,True,
000523.SZ,1993-11-08,,True,False,False,True,
000524.SZ,1993-11-18,,True,False,False,True,
000525.SZ,1993-10-28,,True,True,True,True,
000526.SZ,1993-11-01,,True,False,False,True,
000527.SZ,1993-11-12,2013-09-18,True,False,False,True,
000528.SZ,1993-11-18,,True,True,True,True,
000529.SZ,1993-11-18,,True,False,False,True,
000530.SZ,1993-12-08,,True,False,False,True,
000531.SZ,1994-01-06,,True,False,False,True,
000532.SZ,1994-01-03,,True,False,False,True,
000533.SZ,1994-01-03,,True,False,False,True,
000534.SZ,1994-01-10,,True,False,False,True,
000535.SZ,1993-11-30,2005-09-21,True,False,False,True,
000536.SZ,1993-11-26,,True,True,True,True,
000537.SZ,1993-12-10,,True,True,True,True,
000538.SZ,1993-12-15,,True,False,False,True,
000539.SZ,1993-11-26,,True,True,True,True,
000540.SZ,1994-02-02,2023-06-30,True,True,True,True,
000541.SZ,1993-11-23,,True,True,True,True,
000542.SZ,1993-12-01,2004-01-13,True,False,False,True,
000543.SZ,1993-12-20,,True,True,True,True,
000544.SZ,1993-12-08,,True,False,False,True,
000545.SZ,1993-12-15,,True,False,False,True,
000546.SZ,1993-12-15,,True,False,False,True,
000547.SZ,1993-11-30,,True,True,True,True,
000548.SZ,1993-12-20,,True,False,False,True,
000549.SZ,1993-12-20,2007-04-27,True,False,False,True,
000550.SZ,1993-12-01,,True,True,True,True,
000551.SZ,1994-01-06,,True,False,False,True,
000552.SZ,1994-01-06,,True,True,True,True,
000553.SZ,1993-12-03,,True,True,True,True,
000554.SZ,1993-12-15,,True,False,False,True,
000555.SZ,1994-04-08,,True,True,True,True,
000556.SZ,1994-05-25,2002-06-03,True,False,False,True,
000557.SZ,1994-06-17,,True,False,False,True,
000558.SZ,1994-05-09,,True,False,False,True,
000559.SZ,1994-01-10,,True,True,True,True,
000560.SZ,1994-02-02,,True,False,False,True,
000561.SZ,1994-05-09,,True,False,False,True,
000562.SZ,1994-02-02,2015-01-26,True,False,True,True,
000563.SZ,1994-01-10,,True,True,True,True,
000564.SZ,1994-01-10,,True,True,True,True,
000565.SZ,1994-04-08,,True,False,False,True,
000566.SZ,1994-05-25,,True,True,True,True,
000567.SZ,1994-05-25,,True,False,False,True,
000568.SZ,1994-05-09,,True,False,False,True,
000569.SZ,1994-04-25,2009-05-06,True,False,False,True,
000570.SZ,1994-07-01,,True,False,False,True,
000571.SZ,1994-05-25,,True,False,False,True,
000572.SZ,1994-08-08,,True,True,True,True,
000573.SZ,1994-08-15,,True,False,False,True,
000576.SZ,1994-09-07,,True,False,False,True,
000578.SZ,1995-03-03,2011-03-22,True,False,False,True,
000581.SZ,1998-09-24,,True,True,True,True,
000582.SZ,1995-11-02,,True,True,True,True,
000583.SZ,1995-11-01,2007-05-21,True,False,False,True,
000584.SZ,1995-11-28,2025-07-11,True,False,True,True,
000585.SZ,1995-12-13,2022-05-24,True,False,True,True,
000586.SZ,1995-12-20,,True,False,False,True,
000587.SZ,1996-04-25,2023-04-03,True,True,True,True,
000588.SZ,1996-01-23,2001-06-16,True,False,False,True,
000589.SZ,1996-03-08,,True,False,False,True,
000590.SZ,1996-01-19,,True,False,False,True,
000591.SZ,1996-02-08,,True,True,True,True,
000592.SZ,1996-03-27,,True,True,True,True,
000593.SZ,1996-03-12,,True,False,False,True,
000594.SZ,1996-03-20,2015-07-13,True,False,True,True,
000595.SZ,1996-04-19,,True,False,False,True,
000596.SZ,1996-09-27,,True,True,True,True,
000597.SZ,1996-05-23,,True,False,False,True,
000598.SZ,1996-05-29,,True,True,True,True,
000599.SZ,1996-04-30,,True,False,False,True,
000600.SZ,1996-06-06,,True,True,True,True,
000601.SZ,1996-08-30,,True,False,False,True,
000602.SZ,1996-08-19,2013-08-14,True,False,False,True,
000603.SZ,1996-08-23,,True,True,True,True,
000605.SZ,1996-09-13,,True,False,False,True,
000606.SZ,1996-10-04,2023-07-06,True,False,True,True,
000607.SZ,1996-08-30,,True,False,False,True,
000608.SZ,1996-09-19,,True,False,False,True,
000609.SZ,1996-10-10,,True,False,False,True,
000610.SZ,1996-09-26,,True,False,False,True,
000611.SZ,1996-10-08,2022-06-28,True,False,True,True,
000612.SZ,1996-09-26,,True,True,True,True,
000613.SZ,1997-01-28,2022-06-29,True,False,True,True,
000615.SZ,1996-10-16,,True,False,False,True,
000616.SZ,1996-11-08,2023-08-23,True,True,True,True,
000617.SZ,1996-10-22,,True,False,False,True,
000618.SZ,1996-10-15,2006-02-20,True,False,False,True,
000619.SZ,1996-10-23,,True,False,False,True,
000620.SZ,1996-10-29,,True,True,True,True,
000621.SZ,1996-11-05,2004-09-27,True,False,False,True,
000622.SZ,1996-11-07,2025-07-16,True,False,True,True,
000623.SZ,1996-10-28,,True,True,True,True,
000625.SZ,1997-06-10,,True,False,False,True,
000626.SZ,1996-11-28,,True,False,False,True,
000627.SZ,1996-11-12,2025-09-30,True,False,True,True,
000628.SZ,1996-11-18,,True,False,False,True,
000629.SZ,1996-11-15,,True,True,True,True,
000630.SZ,1996-11-20,,True,True,True,True,
000631.SZ,1996-11-22,,True,True,True,True,
000632.SZ,1996-11-21,,True,False,False,True,
000633.SZ,1996-11-12,,True,False,False,True,
000635.SZ,1996-11-20,,True,False,False,True,
000636.SZ,1996-11-29,,True,True,True,True,
000637.SZ,1996-11-14,,True,False,False,True,
000638.SZ,1996-11-26,2026-06-03,True,False,True,True,
000639.SZ,1996-11-26,,True,False,False,True,
000650.SZ,1996-12-10,,True,True,True,True,
000651.SZ,1996-11-18,,True,False,False,True,
000652.SZ,1996-11-28,,True,True,True,True,
000653.SZ,1996-11-26,2002-09-13,True,False,False,True,
000655.SZ,1996-11-28,,True,False,False,True,
000656.SZ,1996-11-28,,True,True,True,True,
000657.SZ,1996-12-05,,True,True,True,True,
000658.SZ,1996-12-18,2002-09-20,True,False,False,True,
000659.SZ,1996-12-03,,True,False,False,True,
000660.SZ,1996-12-09,2004-09-13,True,False,False,True,
000661.SZ,1996-12-18,,True,True,True,True,
000662.SZ,1996-12-16,2021-04-12,True,True,True,True,
000663.SZ,1996-12-06,,True,False,False,True,
000665.SZ,1996-12-10,,True,False,False,True,
000666.SZ,1996-12-10,2023-10-26,True,False,True,True,
000667.SZ,1996-12-05,2023-07-14,True,True,True,True,
000668.SZ,1996-12-10,,True,False,False,True,
000669.SZ,1996-12-10,,True,True,True,True,
000670.SZ,1996-12-17,,True,False,False,True,
000671.SZ,1996-12-18,2023-08-16,True,True,True,True,
000672.SZ,1996-12-18,,True,False,False,True,
000673.SZ,1997-01-24,2022-07-04,True,False,True,True,
000675.SZ,1996-12-26,2002-08-20,True,False,False,True,
000676.SZ,1996-12-24,,True,False,False,True,
000677.SZ,1996-12-26,,True,False,False,True,
000678.SZ,1997-01-06,,True,False,False,True,
000679.SZ,1997-01-24,,True,False,False,True,
000680.SZ,1997-01-22,,True,True,True,True,
000681.SZ,1997-01-21,,True,True,True,True,
000682.SZ,1997-01-21,,True,False,False,True,
000683.SZ,1997-01-31,,True,True,True,True,
000685.SZ,1997-01-23,,True,True,True,True,
000686.SZ,1997-02-27,,True,True,True,True,
000687.SZ,1997-02-21,2022-06-17,True,False,True,True,
000688.SZ,1997-01-20,,True,True,True,True,
000689.SZ,1996-12-31,2002-09-05,True,False,False,True,
000690.SZ,1997-01-28,,True,True,True,True,
000691.SZ,1997-02-28,,True,False,False,True,
000692.SZ,1997-02-27,,True,False,False,True,
000693.SZ,1997-02-26,2019-07-09,True,True,True,True,
000695.SZ,1997-02-18,,True,False,False,True,
000697.SZ,1997-03-25,,True,True,True,True,
000698.SZ,1997-02-20,,True,False,False,True,
000699.SZ,1997-03-10,2007-04-04,True,False,False,True,
000700.SZ,1997-02-28,,True,False,False,True,
000701.SZ,1997-02-26,,True,False,False,True,
000702.SZ,1997-03-18,,True,False,False,True,
000703.SZ,1997-03-28,,True,True,True,True,
000705.SZ,1997-04-10,,True,False,False,True,
000707.SZ,1997-04-15,,True,False,False,True,
000708.SZ,1997-03-26,,True,False,False,True,
000709.SZ,1997-04-16,,True,True,True,True,
000710.SZ,1997-04-22,,True,False,False,True,
000711.SZ,1997-04-11,,True,False,False,True,
000712.SZ,1997-04-15,,True,True,True,True,
000713.SZ,1997-04-22,,True,False,False,True,
000715.SZ,1997-05-08,,True,False,False,True,
000716.SZ,1997-04-18,,True,False,False,True,
000717.SZ,1997-05-08,,True,True,True,True,
000718.SZ,1997-04-08,,True,True,True,True,
000719.SZ,1997-03-31,,True,True,True,True,
000720.SZ,1997-05-09,,True,False,False,True,
000721.SZ,1997-04-30,,True,False,False,True,
000722.SZ,1997-05-22,,True,False,False,True,
000723.SZ,1997-05-15,,True,True,True,True,
000725.SZ,2001-01-12,,True,False,False,True,
000726.SZ,2000-12-25,,True,True,True,True,
000727.SZ,1997-05-20,,True,True,True,True,
000728.SZ,1997-06-16,,True,True,True,True,
000729.SZ,1997-07-16,,True,True,True,True,
000730.SZ,1997-05-22,2004-09-24,True,False,False,True,
000731.SZ,1997-06-17,,True,False,False,True,
000732.SZ,1997-07-04,2023-08-04,True,True,True,True,
000733.SZ,1997-07-03,,True,True,True,True,
000735.SZ,1997-06-11,,True,True,True,True,
000736.SZ,1997-04-25,,True,False,False,True,
000737.SZ,1997-04-28,,True,True,True,True,
000738.SZ,1997-06-26,,True,True,True,True,
000739.SZ,1997-05-09,,True,True,True,True,
000748.SZ,1997-07-04,2017-01-18,True,True,True,True,
000750.SZ,1997-07-09,,True,True,True,True,
000751.SZ,1997-06-26,,True,False,False,True,
000752.SZ,1997-06-25,,True,False,False,True,
000753.SZ,1997-06-26,,True,False,False,True,
000755.SZ,1997-06-27,,True,False,False,True,
000756.SZ,1997-08-06,,True,False,False,True,
000757.SZ,1997-06-27,,True,False,False,True,
000758.SZ,1997-04-16,,True,True,True,True,
000759.SZ,1997-05-19,,True,False,False,True,
000760.SZ,1997-06-27,2021-07-23,True,False,True,True,
000761.SZ,1998-01-15,,True,True,True,True,
000762.SZ,1997-07-08,,True,True,True,True,
000763.SZ,1997-09-15,2006-01-04,True,False,False,True,
000765.SZ,1997-11-03,2005-07-04,True,False,False,True,
000766.SZ,1997-04-30,,True,True,True,True,
000767.SZ,1997-06-09,,True,False,False,True,
000768.SZ,1997-06-26,,True,False,False,True,
000769.SZ,1997-05-30,2005-09-21,True,False,False,True,
000776.SZ,1997-06-11,,True,False,False,True,
000777.SZ,1997-07-10,,True,True,True,True,
000778.SZ,1997-06-06,,True,True,True,True,
000779.SZ,1997-05-28,,True,False,False,True,
000780.SZ,1997-06-06,2022-01-24,True,True,True,True,
000782.SZ,1997-06-19,,True,False,False,True,
000783.SZ,1997-07-31,,True,True,True,True,
000785.SZ,1997-07-11,,True,True,True,True,
000786.SZ,1997-06-06,,True,True,True,True,
000787.SZ,1997-06-26,2013-02-08,True,False,False,True,
000788.SZ,1997-06-16,,True,True,True,True,
000789.SZ,1997-09-23,,True,False,False,True,
000790.SZ,1998-03-27,,True,False,False,True,
000791.SZ,1997-10-14,,True,False,False,True,
000792.SZ,1997-09-04,,True,False,False,True,
000793.SZ,1997-07-29,,True,False,False,True,
000795.SZ,1997-08-08,,True,False,False,True,
000796.SZ,1997-07-03,,True,False,False,True,
000797.SZ,1997-07-15,,True,False,False,True,
000798.SZ,1998-02-12,,True,False,False,True,
000799.SZ,1997-07-18,,True,True,True,True,
000800.SZ,1997-06-18,,True,True,True,True,
000801.SZ,1998-05-06,,True,False,False,True,
000802.SZ,1998-01-08,,True,False,False,True,
000803.SZ,1998-03-03,,True,False,False,True,
000805.SZ,1998-05-29,2013-03-27,True,False,False,True,
000806.SZ,1998-04-16,2023-07-06,True,True,True,True,
000807.SZ,1998-04-08,,True,True,True,True,
000809.SZ,1998-06-16,,True,True,True,True,
000810.SZ,1998-06-02,,True,True,True,True,
000811.SZ,1998-05-28,,True,False,False,True,
000812.SZ,1998-06-23,,True,False,False,True,
000813.SZ,1998-05-19,,True,True,True,True,
000815.SZ,1998-06-09,,True,False,False,True,
000816.SZ,1997-08-18,,True,True,True,True,
000817.SZ,1998-05-28,2006-01-04,True,False,False,True,
000818.SZ,1997-10-17,,True,True,True,True,
000819.SZ,1997-06-25,,True,False,False,True,
000820.SZ,1998-06-30,,True,False,False,True,
000821.SZ,1998-06-26,,True,False,False,True,
000822.SZ,1998-07-03,,True,False,False,True,
000823.SZ,1997-10-08,,True,True,True,True,
000825.SZ,1998-10-21,,True,True,True,True,
000826.SZ,1998-02-25,,True,True,True,True,
000827.SZ,1998-10-16,2005-09-21,True,False,False,True,
000828.SZ,1997-06-17,,True,False,False,True,
000829.SZ,1997-12-02,,True,True,True,True,
000830.SZ,1998-08-07,,True,True,True,True,
000831.SZ,1998-09-11,,True,True,True,True,
000832.SZ,1998-08-25,2006-06-29,True,False,False,True,
000833.SZ,1998-11-11,,True,False,False,True,
000835.SZ,1999-06-25,2022-05-23,True,False,True,True,
000836.SZ,1997-09-29,2024-08-12,True,False,True,True,
000837.SZ,1998-09-28,,True,False,False,True,
000838.SZ,1997-06-26,,True,False,False,True,
000839.SZ,1997-10-31,,True,False,False,True,
000848.SZ,1997-11-13,,True,True,True,True,
000850.SZ,1998-10-07,,True,True,True,True,
000851.SZ,1998-06-09,2025-11-11,True,False,True,True,
000852.SZ,1998-11-26,,True,True,True,True,
000856.SZ,1998-08-13,,True,False,False,True,
000858.SZ,1998-04-27,,True,False,False,True,
000859.SZ,1998-11-19,,True,False,False,True,
000860.SZ,1998-11-04,,True,True,True,True,
000861.SZ,1998-10-28,2024-09-18,True,True,True,True,
000862.SZ,1998-09-15,,True,False,False,True,
000863.SZ,1997-09-25,,True,False,False,True,
000866.SZ,1998-05-12,2006-04-21,True,False,False,True,
000868.SZ,1997-07-25,,True,False,False,True,
000869.SZ,2000-10-26,,True,True,True,True,
000875.SZ,2002-09-26,,True,False,False,True,
000876.SZ,1998-03-11,,True,False,False,True,
000877.SZ,1999-01-07,,True,True,True,True,
000878.SZ,1998-06-02,,True,True,True,True,
000880.SZ,1998-04-02,,True,False,False,True,
000881.SZ,1998-09-02,,True,False,False,True,
000882.SZ,1998-06-16,,True,False,False,True,
000883.SZ,1998-05-19,,True,True,True,True,
000885.SZ,1999-03-19,,True,False,False,True,
000886.SZ,1998-01-23,,True,True,True,True,
000887.SZ,1998-12-03,,True,True,True,True,
000888.SZ,1997-10-21,,True,False,False,True,
000889.SZ,1997-12-18,,True,False,False,True,
000890.SZ,1999-01-19,,True,False,False,True,
000892.SZ,1999-01-15,,True,False,False,True,
000893.SZ,1998-12-24,,True,True,True,True,
000895.SZ,1998-12-10,,True,False,False,True,
000897.SZ,1999-04-22,,True,True,True,True,
000898.SZ,1997-12-25,,True,True,True,True,
000899.SZ,1997-11-26,,True,False,False,True,
000900.SZ,1999-01-28,,True,True,True,True,
000901.SZ,1999-04-01,,True,False,False,True,
000902.SZ,1999-04-08,,True,False,False,True,
000903.SZ,1999-04-15,,True,False,False,True,
000905.SZ,1999-04-29,,True,False,False,True,
000906.SZ,1999-07-07,,True,False,False,True,
000908.SZ,1999-02-03,,True,False,False,True,
000909.SZ,1999-05-07,,True,False,False,True,
000910.SZ,1999-06-30,,True,False,False,True,
000911.SZ,1999-05-27,,True,False,False,True,
000912.SZ,1999-06-03,,True,False,False,True,
000913.SZ,1999-05-14,,True,False,False,True,
000915.SZ,1999-06-09,,True,False,False,True,
000916.SZ,1999-09-27,2017-12-25,True,False,True,True,
000917.SZ,1999-03-25,,True,False,False,True,
000918.SZ,1999-07-20,2023-07-28,True,False,True,True,
000919.SZ,1999-11-18,,True,True,True,True,
000920.SZ,1999-06-16,,True,False,False,True,
000921.SZ,1999-07-13,,True,True,True,True,
000922.SZ,1999-06-18,,True,False,False,True,
000923.SZ,1999-07-14,,True,False,False,True,
000925.SZ,1999-06-11,,True,False,False,True,
000926.SZ,1999-06-18,,True,True,True,True,
000927.SZ,1999-07-27,,True,True,True,True,
000928.SZ,1999-03-12,,True,False,False,True,
000929.SZ,1999-06-23,,True,False,False,True,
000930.SZ,1999-07-12,,True,True,True,True,
000931.SZ,1999-07-12,,True,True,True,True,
000932.SZ,1999-08-03,,True,True,True,True,
000933.SZ,1999-08-31,,True,True,True,True,
000935.SZ,1999-08-24,,True,False,False,True,
000936.SZ,1999-08-10,,True,False,False,True,
000937.SZ,1999-09-09,,True,True,True,True,
000938.SZ,1999-11-04,,True,False,False,True,
000939.SZ,1999-09-23,2020-12-17,True,True,True,True,
000948.SZ,1999-10-14,,True,False,False,True,
000949.SZ,1999-10-21,,True,False,False,True,
000950.SZ,1999-09-16,,True,False,False,True,
000951.SZ,1999-11-25,,True,True,True,True,
000952.SZ,1999-11-12,,True,False,False,True,
000953.SZ,1999-12-02,,True,False,False,True,
000955.SZ,1999-12-09,,True,False,False,True,
000956.SZ,1999-11-10,2006-04-21,True,False,False,True,
000957.SZ,2000-01-13,,True,False,False,True,
000958.SZ,1999-12-23,,True,True,True,True,
000959.SZ,1999-12-16,,True,True,True,True,
000960.SZ,2000-02-21,,True,True,True,True,
000961.SZ,2000-03-01,2024-07-11,True,True,True,True,
000962.SZ,2000-01-20,,True,True,True,True,
000963.SZ,2000-01-27,,True,False,False,True,
000965.SZ,2000-04-06,,True,False,False,True,
000966.SZ,2000-03-16,,True,False,False,True,
000967.SZ,2000-03-30,,True,True,True,True,
000968.SZ,2000-06-22,,True,False,False,True,
000969.SZ,2000-05-29,,True,True,True,True,
000970.SZ,2000-04-20,,True,True,True,True,
000971.SZ,2000-04-27,2024-07-24,True,False,True,True,
000972.SZ,2000-09-26,,True,False,False,True,
000973.SZ,2000-05-25,,True,True,True,True,
000975.SZ,2000-06-08,,True,True,True,True,
000976.SZ,2000-06-01,2024-08-27,True,False,True,True,
000977.SZ,2000-06-08,,True,True,True,True,
000978.SZ,2000-05-18,,True,False,False,True,
000979.SZ,2000-06-16,2018-12-28,True,True,True,True,
000980.SZ,2000-06-16,,True,True,True,True,
000981.SZ,2000-06-22,,True,True,True,True,
000982.SZ,2000-07-06,2024-08-12,True,True,True,True,
000983.SZ,2000-07-26,,True,True,True,True,
000985.SZ,2000-07-26,,True,False,False,True,
000987.SZ,2000-07-18,,True,True,True,True,
000988.SZ,2000-06-08,,True,True,True,True,
000989.SZ,2000-06-28,,True,False,False,True,
000990.SZ,2000-07-06,,True,True,True,True,
000993.SZ,2000-07-31,,True,False,False,True,
000995.SZ,2000-08-07,,True,False,False,True,
000996.SZ,2000-07-18,2024-06-28,True,False,True,True,
000997.SZ,2000-08-07,,True,True,True,True,
000998.SZ,2000-12-11,,True,True,True,True,
