trade_date,active_member_count,suspended_member_count,daily_bar_coverage,daily_basic_coverage,industry_coverage,limit_price_coverage,minimum_coverage,passed,issue
2015-01-05,500,35,1.0,1.0,0.982,1.0,0.982,True,
2015-01-06,500,32,1.0,1.0,0.982,1.0,0.982,True,
2015-01-07,500,34,1.0,1.0,0.982,1.0,0.982,True,
2015-01-08,500,33,1.0,1.0,0.982,1.0,0.982,True,
2015-01-09,500,34,1.0,1.0,0.982,1.0,0.982,True,
2015-01-12,500,36,1.0,1.0,0.982,1.0,0.982,True,
2015-01-13,500,36,1.0,1.0,0.982,1.0,0.982,True,
2015-01-14,500,34,1.0,1.0,0.982,1.0,0.982,True,
2015-01-15,500,36,1.0,1.0,0.982,1.0,0.982,True,
2015-01-16,500,33,1.0,1.0,0.982,1.0,0.982,True,
2015-01-19,500,36,1.0,1.0,0.982,1.0,0.982,True,
2015-01-20,500,36,1.0,1.0,0.982,1.0,0.982,True,
2015-01-21,500,36,1.0,1.0,0.982,1.0,0.982,True,
2015-01-22,500,36,1.0,1.0,0.982,1.0,0.982,True,
2015-01-23,500,36,1.0,1.0,0.982,1.0,0.982,True,
2015-01-26,500,34,1.0,1.0,0.982,1.0,0.982,True,
2015-01-27,500,33,1.0,1.0,0.982,1.0,0.982,True,
2015-01-28,500,36,1.0,1.0,0.982,1.0,0.982,True,
2015-01-29,500,31,1.0,1.0,0.982,1.0,0.982,True,
2015-01-30,500,31,1.0,1.0,0.982,1.0,0.982,True,
2015-02-02,500,31,1.0,1.0,0.982,1.0,0.982,True,
2015-02-03,500,32,1.0,1.0,0.982,1.0,0.982,True,
2015-02-04,500,33,1.0,1.0,0.982,1.0,0.982,True,
2015-02-05,500,35,1.0,1.0,0.982,1.0,0.982,True,
2015-02-06,500,34,1.0,1.0,0.982,1.0,0.982,True,
2015-02-09,500,35,1.0,1.0,0.982,1.0,0.982,True,
2015-02-10,500,36,1.0,1.0,0.982,1.0,0.982,True,
2015-02-11,500,37,1.0,1.0,0.982,1.0,0.982,True,
2015-02-12,500,37,1.0,1.0,0.982,1.0,0.982,True,
2015-02-13,500,37,1.0,1.0,0.982,1.0,0.982,True,
2015-02-16,500,38,1.0,1.0,0.982,1.0,0.982,True,
2015-02-17,500,34,1.0,1.0,0.982,1.0,0.982,True,
2015-02-25,500,32,1.0,1.0,0.982,1.0,0.982,True,
2015-02-26,500,32,1.0,1.0,0.982,1.0,0.982,True,
2015-02-27,500,32,1.0,1.0,0.982,1.0,0.982,True,
2015-03-02,500,34,1.0,1.0,0.982,1.0,0.982,True,
2015-03-03,500,34,1.0,1.0,0.982,1.0,0.982,True,
2015-03-04,500,35,1.0,1.0,0.982,1.0,0.982,True,
2015-03-05,500,38,1.0,1.0,0.982,1.0,0.982,True,
2015-03-06,500,38,1.0,1.0,0.982,1.0,0.982,True,
2015-03-09,500,38,1.0,1.0,0.982,1.0,0.982,True,
2015-03-10,500,36,1.0,1.0,0.982,1.0,0.982,True,
2015-03-11,500,35,1.0,1.0,0.982,1.0,0.982,True,
2015-03-12,500,39,1.0,1.0,0.982,1.0,0.982,True,
2015-03-13,500,39,1.0,1.0,0.982,1.0,0.982,True,
2015-03-16,500,39,1.0,1.0,0.982,1.0,0.982,True,
2015-03-17,500,38,1.0,1.0,0.982,1.0,0.982,True,
2015-03-18,500,36,1.0,1.0,0.982,1.0,0.982,True,
2015-03-19,500,40,1.0,1.0,0.982,1.0,0.982,True,
2015-03-20,500,42,1.0,1.0,0.982,1.0,0.982,True,
2015-03-23,500,42,1.0,1.0,0.982,1.0,0.982,True,
2015-03-24,500,42,1.0,1.0,0.982,1.0,0.982,True,
2015-03-25,500,43,1.0,1.0,0.982,1.0,0.982,True,
2015-03-26,500,44,1.0,1.0,0.982,1.0,0.982,True,
2015-03-27,500,47,1.0,1.0,0.982,1.0,0.982,True,
2015-03-30,500,49,1.0,1.0,0.982,1.0,0.982,True,
2015-03-31,500,48,1.0,1.0,0.982,1.0,0.982,True,
2015-04-01,500,47,1.0,1.0,0.982,1.0,0.982,True,
2015-04-02,500,44,1.0,1.0,0.982,1.0,0.982,True,
2015-04-03,500,41,1.0,1.0,0.982,1.0,0.982,True,
2015-04-07,500,44,1.0,1.0,0.982,1.0,0.982,True,
2015-04-08,500,45,1.0,1.0,0.982,1.0,0.982,True,
2015-04-09,500,46,1.0,1.0,0.982,1.0,0.982,True,
2015-04-10,500,46,1.0,1.0,0.982,1.0,0.982,True,
2015-04-13,500,49,1.0,1.0,0.982,1.0,0.982,True,
