table,check,severity,value,detail
trade_calendar,row_count,info,3035,Rows available for audit.
trade_calendar,primary_key_duplicates,ok,0,Primary key: ['trade_date'].
trade_calendar,date_range:trade_date,info,2014-01-02..2026-06-30,Observed date range.
stock_basic,row_count,info,5533,Rows available for audit.
stock_basic,primary_key_duplicates,ok,0,Primary key: ['ts_code'].
stock_basic,date_range:list_date,info,1990-12-01..2026-07-10,Observed date range.
stock_basic,date_range:delist_date,info,1999-07-12..2026-07-17,Observed date range.
stock_basic,asset_count,info,5533,Unique stock count by ts_code.
daily_bar,row_count,info,3787523,Rows available for audit.
daily_bar,primary_key_duplicates,ok,0,"Primary key: ['trade_date', 'ts_code']."
daily_bar,missing_rate:open,warning,5.9e-05,Missing values in required field.
daily_bar,missing_rate:high,warning,5.9e-05,Missing values in required field.
daily_bar,missing_rate:low,warning,5.9e-05,Missing values in required field.
daily_bar,missing_rate:close,warning,5.9e-05,Missing values in required field.
daily_bar,missing_rate:volume,warning,5.9e-05,Missing values in required field.
daily_bar,missing_rate:amount,warning,0.12478,Missing values in required field.
daily_bar,missing_rate:adj_factor,warning,0.000422,Missing values in required field.
daily_bar,date_range:trade_date,info,2014-01-02..2026-06-30,Observed date range.
daily_bar,asset_count,info,1536,Unique stock count by ts_code.
daily_bar,zero_amount,warning,47,Zero turnover requires suspension/stale-price review.
daily_bar,amount_spikes,warning,1668,Absolute day-on-day amount change exceeds 2000%.
daily_bar,adj_factor_jumps,warning,931,Adjustment-factor jump exceeds 50%; verify corporate actions.
daily_basic,row_count,info,12498868,Rows available for audit.
daily_basic,primary_key_duplicates,ok,0,"Primary key: ['trade_date', 'ts_code']."
daily_basic,missing_rate:pe_ttm,warning,0.002831,Missing values in required field.
daily_basic,missing_rate:pb,warning,0.06538,Missing values in required field.
daily_basic,missing_rate:total_mv,warning,0.014951,Missing values in required field.
daily_basic,missing_rate:turnover_rate,warning,0.05739,Missing values in required field.
daily_basic,missing_rate:net_mf_amount,warning,0.066911,Missing values in required field.
daily_basic,date_range:trade_date,info,2014-01-02..2026-06-30,Observed date range.
daily_basic,asset_count,info,6039,Unique stock count by ts_code.
industry,row_count,info,14359051,Rows available for audit.
industry,primary_key_duplicates,ok,0,"Primary key: ['trade_date', 'ts_code']."
industry,date_range:trade_date,info,2014-01-02..2026-06-30,Observed date range.
industry,asset_count,info,6926,Unique stock count by ts_code.
index_member,row_count,info,1662,Rows available for audit.
index_member,primary_key_duplicates,ok,0,"Primary key: ['index_code', 'ts_code', 'in_date']."
index_member,missing_rate:weight,warning,1.0,Missing values in required field.
index_member,date_range:in_date,info,2005-01-31..2026-06-15,Observed date range.
index_member,date_range:out_date,info,2014-12-15..2026-06-15,Observed date range.
index_member,asset_count,info,1356,Unique stock count by ts_code.
financial_indicator,row_count,info,548524,Rows available for audit.
financial_indicator,primary_key_duplicates,ok,0,"Primary key: ['ts_code', 'report_period', 'ann_date', 'revision_id']."
financial_indicator,missing_rate:roe,warning,0.025106,Missing values in required field.
financial_indicator,missing_rate:gross_margin,warning,0.055418,Missing values in required field.
financial_indicator,missing_rate:debt_ratio,warning,0.021738,Missing values in required field.
financial_indicator,missing_rate:revenue_yoy,warning,0.101159,Missing values in required field.
financial_indicator,missing_rate:profit_yoy,warning,0.101959,Missing values in required field.
financial_indicator,date_range:report_period,info,2013-03-31..2026-03-31,Observed date range.
financial_indicator,date_range:ann_date,info,2013-04-09..2026-06-30,Observed date range.
financial_indicator,date_range:usable_date,info,2014-01-02..2026-07-03,Observed date range.
financial_indicator,date_range:revision_date,info,2013-04-09..2026-07-02,Observed date range.
financial_indicator,asset_count,info,6388,Unique stock count by ts_code.
suspension,row_count,info,57462,Rows available for audit.
suspension,primary_key_duplicates,ok,0,"Primary key: ['ts_code', 'suspend_date']."
suspension,date_range:suspend_date,info,2005-04-21..2026-07-01,Observed date range.
suspension,date_range:resume_date,info,2005-04-22..2026-07-07,Observed date range.
suspension,asset_count,info,3457,Unique stock count by ts_code.
st_status,row_count,info,2608,Rows available for audit.
st_status,primary_key_duplicates,ok,0,"Primary key: ['ts_code', 'start_date']."
st_status,date_range:start_date,info,1998-04-28..2026-06-30,Observed date range.
st_status,date_range:end_date,info,1999-04-28..2026-07-17,Observed date range.
st_status,asset_count,info,1081,Unique stock count by ts_code.
limit_price,row_count,info,3559970,Rows available for audit.
limit_price,primary_key_duplicates,ok,0,"Primary key: ['trade_date', 'ts_code']."
limit_price,missing_rate:up_limit,warning,0.000199,Missing values in required field.
limit_price,missing_rate:down_limit,warning,0.000199,Missing values in required field.
limit_price,date_range:trade_date,info,2014-01-02..2026-06-30,Observed date range.
limit_price,asset_count,info,1356,Unique stock count by ts_code.
benchmark_index,row_count,info,3035,Rows available for audit.
benchmark_index,primary_key_duplicates,ok,0,"Primary key: ['trade_date', 'index_code']."
benchmark_index,date_range:trade_date,info,2014-01-02..2026-06-30,Observed date range.
news_event,missing_table,warning,news_event,Expected standardized table is not present.
daily_bar,daily_asset_coverage_min,info,554.0,Minimum stocks observed on a trading date.
daily_bar,dates_outside_trade_calendar,ok,0.0,Daily bars must fall on open trading days.
daily_basic,daily_bar_key_missing_rate,warning,2e-05,Share of daily-bar asset-date keys missing from this table.
industry,daily_bar_key_missing_rate,warning,0.010564,Share of daily-bar asset-date keys missing from this table.
limit_price,daily_bar_key_missing_rate,warning,0.088132,Share of daily-bar asset-date keys missing from this table.
industry,industry_code_missing_rate,ok,0.0,Industry coverage at signal time.
financial_indicator,usable_date_outside_trade_calendar,ok,0.0,Financial usable_date must be an open exchange trading date.
financial_indicator,usable_date_beyond_batch_window,info,152.0,usable_date later than the batch calendar end; rows kept per approved batch-window rule.
index_member,overlapping_intervals,ok,0.0,Intervals for the same entity must not overlap.
st_status,overlapping_intervals,ok,0.0,Intervals for the same entity must not overlap.
suspension,overlapping_intervals,ok,0.0,Intervals for the same entity must not overlap.
