factor,coverage
event_sentiment_20,1.0
roe,1.0
roa,1.0
gross_margin,1.0
gross_margin_stability,1.0
debt_ratio,1.0
asset_turnover,1.0
vol_20,0.85
vol_60,0.5166666666666667
beta_60,0.5166666666666667
idio_vol_60,0.03333333333333333
turnover_20,0.85
amihud_20,0.85
mf_5,0.9666666666666667
mf_20,0.85
large_order_mf_20,0.85
revenue_yoy,1.0
profit_yoy,1.0
roe_delta,1.0
size,1.0
bp,1.0
ep,1.0
sp,1.0
cfp,1.0
mom_20,0.6666666666666666
mom_60_skip5,0.0
mom_120,0.0
rev_5,0.9166666666666666
rev_20,0.6666666666666666
turnover_chg_20,0.5166666666666667
amount_mom_20,0.5166666666666667
